class,precision,recall,f1
f5tts,0.9915966386554622,0.9490616621983914,0.9698630136986301
xtts,0.92,0.9249329758713136,0.9224598930481284
cosyvoice3,0.7275641025641025,0.6085790884718498,0.6627737226277373
chatterbox,0.5936883629191322,0.806970509383378,0.6840909090909091
indextts,0.8471337579617835,0.7131367292225201,0.7743813682678311
