ssl,preprocessing,setting,macro_f1,ci_lo,ci_hi,layers,diff_vs_untrimmed,diff_lo,diff_hi
wavlm,untrimmed,6way,0.7153165053543131,0.6822452256050984,0.7505588170418329,"[4, 4, 4, 4, 4]",,,
wavlm,untrimmed,ttsonly,0.8027137813466473,0.7730370048787354,0.8310276001636102,"[4, 5, 4, 5, 4]",,,
wavlm,trim+rms,6way,0.6351721437279677,0.6009031323667449,0.6693436350476147,"[3, 4, 4, 4, 4]",0.08014436162634542,0.05742561691049491,0.10331926097526074
wavlm,trim+rms,ttsonly,0.7114978423235448,0.6753306554693296,0.7440683082055517,"[4, 4, 5, 6, 5]",0.09121593902310243,0.06421393001654123,0.11902489740490563
w2vbert,untrimmed,6way,0.7809918696050252,0.7447852573697126,0.8116523991449587,"[3, 3, 3, 3, 3]",,,
w2vbert,untrimmed,ttsonly,0.8178490216392177,0.7843279780117764,0.8493644632343486,"[3, 3, 3, 0, 19]",,,
w2vbert,trim+rms,6way,0.6897682487945724,0.6520852727216143,0.724911114718741,"[18, 18, 18, 18, 18]",0.09122362081045277,0.05981758290313967,0.12513732179555234
w2vbert,trim+rms,ttsonly,0.7652820704234237,0.7344009393014939,0.7940787252157879,"[18, 19, 19, 19, 19]",0.05256695121579402,0.024330498667751447,0.08388423618562504
