layer,probe,real,f5tts,xtts,cosyvoice3,chatterbox,indextts,dP_real,dP_f5tts,dP_xtts,dP_cosyvoice3,dP_chatterbox,dP_indextts,margin,top_class,target_aligned,margin_ci_lo,margin_ci_hi,S_cosyvoice3,S_f5tts,S_indextts,delta_target,delta_ci_lo,delta_ci_hi,S_target,S_ci_lo,S_ci_hi,dP_f5tts_lo,dP_f5tts_hi,S_f5tts_lo,S_f5tts_hi,dP_cosyvoice3_lo,dP_cosyvoice3_hi,S_cosyvoice3_lo,S_cosyvoice3_hi
22,resynth_griffinlim,0.21715817694369974,0.0777479892761394,0.03753351206434316,0.4959785522788204,0.15281501340482573,0.01876675603217158,-0.0482573726541555,0.029490616621983913,0.005361930294906163,0.05630026809651473,-0.034852546916890076,-0.008042895442359251,0.026809651474530814,cosyvoice3,False,4.839878497975293e-17,0.0852182539682539,0.026809651474530814,-0.026809651474530814,-0.06434316353887398,0.029490616621983913,0.005420054200542007,0.05390835579514825,-0.026809651474530814,-0.08871565516042083,0.024573211717343973,,,,,,,,
22,resynth_glvocos,0.23324396782841822,0.08579088471849866,0.029490616621983913,0.4477211796246649,0.16621983914209115,0.03753351206434316,-0.03217158176943702,0.03753351206434317,-0.002680965147453085,0.008042895442359255,-0.02144772117962465,0.01072386058981233,0.02680965147453084,f5tts,True,4.14598910758457e-17,0.050267883457538624,-0.029490616621983913,0.02680965147453084,-0.02680965147453084,0.03753351206434317,0.016214036617262426,0.06133333333333334,0.02680965147453084,-0.029974799362725364,0.04827045053292355,,,,,,,,
22,resynth_encodec,0.28418230563002683,0.021447721179624665,0.064343163538874,0.5522788203753352,0.06702412868632708,0.010723860589812333,0.018766756032171594,-0.026809651474530828,0.032171581769437,0.11260053619302951,-0.12064343163538872,-0.0160857908847185,0.08042895442359252,cosyvoice3,False,0.005419687980663565,0.18612500000000004,0.08042895442359252,-0.13941018766756033,-0.12868632707774802,,,,,,,-0.045579470437314425,-0.008021390374331552,-0.22766930461857815,-0.06100392264185364,0.034644155844155804,0.19522662409732333,-0.02369050951847702,0.19035171709434448
22,resynth_dac,0.19571045576407506,0.03753351206434316,0.032171581769437,0.4906166219839142,0.20911528150134048,0.03485254691689008,-0.06970509383378018,-0.010723860589812333,0.0,0.05093833780160856,0.02144772117962468,0.008042895442359251,0.02949061662198388,cosyvoice3,False,0.0026245001442882334,0.08404390243902436,0.02949061662198388,-0.06166219839142089,-0.0428954423592493,,,,,,,-0.03261091695296766,0.008130081300813007,-0.1162162162162162,-0.02412707344697567,0.010443402792882936,0.10002732240437154,-0.038699245812505466,0.08922009775733172
22,resynth_hift3,0.24396782841823056,0.04825737265415549,0.045576407506702415,0.4906166219839142,0.1581769436997319,0.013404825737265416,-0.02144772117962468,0.0,0.013404825737265418,0.05093833780160856,-0.029490616621983906,-0.013404825737265416,0.03753351206434314,cosyvoice3,True,0.0026595744680851232,0.09214718098267936,0.03753351206434314,-0.05093833780160856,-0.06434316353887397,0.05093833780160856,0.002687812661721578,0.10161374619381619,0.03753351206434314,-0.02688353186679418,0.09679036879563731,,,,,,,,
22,resynth_s3vc3,0.2520107238605898,0.0160857908847185,0.04825737265415549,0.5281501340482574,0.13941018766756033,0.0160857908847185,-0.013404825737265424,-0.03217158176943699,0.016085790884718495,0.08847184986595175,-0.04825737265415547,-0.010723860589812333,0.07238605898123325,cosyvoice3,True,0.008042357815658529,0.1428571428571428,0.07238605898123325,-0.12064343163538874,-0.09919571045576409,0.08847184986595175,0.02438695680757349,0.1474629925913114,0.07238605898123325,-0.002606447944743953,0.14247329559962554,,,,,,,,
23,clean_real,0.2975871313672922,0.04289544235924933,0.02680965147453083,0.4262734584450402,0.1769436997319035,0.029490616621983913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,resynth_vocos,0.32707774798927614,0.04825737265415549,0.02680965147453083,0.46112600536193027,0.13404825737265416,0.002680965147453083,0.029490616621983934,0.005361930294906163,0.0,0.03485254691689005,-0.04289544235924933,-0.026809651474530828,0.029490616621983885,cosyvoice3,False,0.00263157894736845,0.08377566367286707,0.029490616621983885,-0.029490616621983885,-0.061662198391420876,0.005361930294906163,-0.016086871919052146,0.029104398851739273,-0.029490616621983885,-0.08753897652237706,0.01666782729805014,,,,,,,,
23,resynth_bigvgan,0.26541554959785524,0.045576407506702415,0.021447721179624665,0.5013404825737265,0.1554959785522788,0.010723860589812333,-0.03217158176943696,0.002680965147453085,-0.005361930294906166,0.07506702412868632,-0.02144772117962468,-0.01876675603217158,0.07238605898123324,cosyvoice3,False,0.021062568597948823,0.1220403835515397,0.07238605898123324,-0.07238605898123324,-0.0938337801608579,-0.01876675603217158,-0.03785079600148093,-0.0026737967914438514,-0.0938337801608579,-0.1398509374432857,-0.05039787798408488,-0.01102157943067034,0.018568873807776963,-0.12737848123162088,-0.018764253798033984,0.031400744161421294,0.12336698840064345,0.018715329768270977,0.1267293946839401
23,resynth_griffinlim,0.3485254691689008,0.058981233243967826,0.01876675603217158,0.4128686327077748,0.16085790884718498,0.0,0.05093833780160861,0.016085790884718495,-0.008042895442359251,-0.013404825737265424,-0.01608579088471851,-0.029490616621983913,0.024128686327077747,f5tts,True,1.3877787807814457e-17,0.043366341020358426,-0.02949061662198392,0.024128686327077747,-0.04557640750670241,0.016085790884718495,-0.0027550111867038034,0.03485254691689008,0.024128686327077747,-0.03494859142683247,0.03897385509227613,,,,,,,,
23,resynth_glvocos,0.32439678284182305,0.058981233243967826,0.01876675603217158,0.42359249329758714,0.16621983914209115,0.00804289544235925,0.02680965147453085,0.016085790884718495,-0.008042895442359251,-0.002680965147453085,-0.01072386058981234,-0.021447721179624665,0.01876675603217158,f5tts,True,1.3877787807814457e-17,0.04349020544672717,-0.01876675603217158,0.01876675603217158,-0.03753351206434316,0.016085790884718495,-0.005435152825494613,0.038076643272851735,0.01876675603217158,-0.03533091292468523,0.03815499895200167,,,,,,,,
