cond,wer_mean,wer_median,cer_mean,cer_median,wer0_rate
chatterbox,0.02660169336898519,0.0,0.010277594096046706,0.0,0.7801608579088471
cosyvoice3,0.029937742177759102,0.0,0.010328489276367425,0.0,0.7721179624664879
f5tts,0.028770201492201455,0.0,0.010536320526550175,0.0,0.7694369973190348
indextts,0.029350822143734454,0.0,0.010056062664492695,0.0,0.7694369973190348
real,0.036834103174014,0.0,0.013625141330610949,0.0,0.7131367292225201
xtts,0.039460127118119644,0.0,0.017670071951148537,0.0,0.710455764075067
