layer,probe,real,f5tts,xtts,cosyvoice3,chatterbox,indextts,dP_real,dP_f5tts,dP_xtts,dP_cosyvoice3,dP_chatterbox,dP_indextts,margin,top_class,target_aligned,margin_ci_lo,margin_ci_hi,S_cosyvoice3,S_f5tts,S_indextts,delta_target,delta_ci_lo,delta_ci_hi,S_target,S_ci_lo,S_ci_hi,dP_f5tts_lo,dP_f5tts_hi,S_f5tts_lo,S_f5tts_hi,dP_cosyvoice3_lo,dP_cosyvoice3_hi,S_cosyvoice3_lo,S_cosyvoice3_hi
0,clean_real,0.5764075067024129,0.2225201072386059,0.05630026809651475,0.002680965147453083,0.002680965147453083,0.13941018766756033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,resynth_vocos,0.5254691689008043,0.26273458445040215,0.06166219839142091,0.0,0.0,0.15013404825737264,-0.05093833780160861,0.040214477211796246,0.005361930294906163,-0.002680965147453083,-0.002680965147453083,0.010723860589812312,0.029490616621983934,f5tts,True,1.3877787807814457e-17,0.08401084010840107,-0.04289544235924933,0.029490616621983934,-0.029490616621983934,0.040214477211796246,-0.018422267740591587,0.0957446808510638,0.029490616621983934,-0.04624719518591912,0.0872742622760739,,,,,,,,
0,resynth_bigvgan,0.5630026809651475,0.23056300268096513,0.03753351206434316,0.002680965147453083,0.002680965147453083,0.16353887399463807,-0.013404825737265424,0.008042895442359227,-0.018766756032171587,0.0,0.0,0.024128686327077736,0.01608579088471851,indextts,True,2.7408630920433572e-17,0.05964107031180202,-0.024128686327077736,-0.01608579088471851,0.01608579088471851,0.024128686327077736,-0.00810865743792573,0.059793279080355116,0.01608579088471851,-0.04266951871657756,0.05867058823529412,-0.027100271002710008,0.04032258064516128,-0.07361196566171516,0.03457909034019798,0.0,0.0,-0.06316206082488543,-0.005318445345041071
0,resynth_griffinlim,0.5361930294906166,0.2734584450402145,0.03485254691689008,0.002680965147453083,0.005361930294906166,0.14745308310991956,-0.04021447721179627,0.050938337801608585,-0.021447721179624665,0.0,0.002680965147453083,0.008042895442359227,0.04289544235924936,f5tts,True,0.002652344462689243,0.09190437720329024,-0.050938337801608585,0.04289544235924936,-0.04289544235924936,0.050938337801608585,0.0,0.09737484377169839,0.04289544235924936,-0.02407067495302788,0.09067272727272727,,,,,,,,
0,resynth_glvocos,0.5630026809651475,0.23324396782841822,0.05093833780160858,0.005361930294906166,0.0,0.14745308310991956,-0.013404825737265424,0.010723860589812312,-0.00536193029490617,0.002680965147453083,-0.002680965147453083,0.008042895442359227,0.002680965147453085,f5tts,True,0.0,0.047496544792059295,-0.008042895442359229,0.002680965147453085,-0.002680965147453085,0.010723860589812312,-0.029492598518262265,0.047622205380826094,0.002680965147453085,-0.06100795755968169,0.04266951871657752,,,,,,,,
0,resynth_encodec,0.4075067024128686,0.18498659517426275,0.1554959785522788,0.002680965147453083,0.0,0.24932975871313673,-0.1689008042895443,-0.03753351206434316,0.09919571045576406,0.0,-0.002680965147453083,0.1099195710455764,0.01072386058981234,indextts,False,0.002631406271584454,0.10554465109294892,-0.1099195710455764,-0.14745308310991956,0.01072386058981234,,,,,,,-0.10995432922366714,0.02381268996960486,-0.24941444952791703,-0.07814627133872419,-0.008065605928509153,0.008,-0.17741935483870966,-0.08487033731090861
0,resynth_dac,0.6032171581769437,0.2225201072386059,0.02680965147453083,0.002680965147453083,0.002680965147453083,0.14209115281501342,0.026809651474530738,0.0,-0.029490616621983917,0.0,0.0,0.002680965147453085,0.002680965147453085,indextts,False,0.0,0.03907277960526315,-0.002680965147453085,-0.002680965147453085,0.002680965147453085,,,,,,,-0.03208556149732622,0.031510800454755974,-0.0588274720075698,0.02652696258253852,-0.007978723404255319,0.007957559681697613,-0.04570200417355013,0.005334048257372654
0,resynth_hift3,0.00804289544235925,0.002680965147453083,0.0,0.9892761394101877,0.0,0.0,-0.5683646112600537,-0.21983914209115282,-0.05630026809651475,0.9865951742627346,-0.002680965147453083,-0.13941018766756033,0.9892761394101877,cosyvoice3,True,0.9731128158055774,1.0026386969328922,0.9892761394101877,-1.2064343163538873,-1.126005361930295,0.9865951742627346,0.9705074014817378,0.9973685937284155,0.9892761394101877,0.9727520435967303,1.0026597517730496,,,,,,,,
0,resynth_s3vc3,0.01876675603217158,0.005361930294906166,0.0,0.9731903485254692,0.0,0.002680965147453083,-0.5576407506702413,-0.21715817694369974,-0.05630026809651475,0.9705093833780161,-0.002680965147453083,-0.13672922252010725,0.9731903485254692,cosyvoice3,True,0.9479271308980213,0.9946808510638298,0.9731903485254692,-1.1876675603217157,-1.1072386058981234,0.9705093833780161,0.9457957758925415,0.9894200724909387,0.9731903485254692,0.9489178291194421,0.9946387846291331,,,,,,,,
1,clean_real,0.6407506702412868,0.058981233243967826,0.02680965147453083,0.04825737265415549,0.032171581769437,0.19302949061662197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,resynth_vocos,0.6273458445040214,0.08847184986595175,0.032171581769437,0.06970509383378017,0.021447721179624665,0.16085790884718498,-0.013404825737265424,0.02949061662198392,0.005361930294906166,0.021447721179624672,-0.010723860589812333,-0.03217158176943699,0.008042895442359248,f5tts,True,0.0,0.04278649876372835,-0.008042895442359248,0.008042895442359248,-0.06166219839142091,0.02949061662198392,0.005276008785865258,0.06469439790194507,0.008042895442359248,-0.021450611708085533,0.0427836160055053,,,,,,,,
1,resynth_bigvgan,0.6595174262734584,0.064343163538874,0.0160857908847185,0.040214477211796246,0.03753351206434316,0.18230563002680966,0.018766756032171594,0.00536193029490617,-0.010723860589812333,-0.008042895442359248,0.005361930294906163,-0.010723860589812312,6.938893903907228e-18,f5tts,False,0.0,0.01907487232173433,-0.013404825737265418,6.938893903907228e-18,-0.01608579088471848,-0.010723860589812312,-0.0319633754432624,0.00808625336927224,-0.01608579088471848,-0.048547676132894534,0.0026955999125810497,-0.010695187165775402,0.02393937023552168,-0.016228720385870327,0.016438356164383564,-0.021390374331550797,0.0053911998251620925,-0.03937527268194378,0.002638522427440629
1,resynth_griffinlim,0.8364611260053619,0.0,0.02680965147453083,0.0160857908847185,0.0,0.12064343163538874,0.1957104557640751,-0.058981233243967826,0.0,-0.03217158176943699,-0.032171581769437,-0.07238605898123324,0.03217158176943699,xtts,False,0.0027170240893066963,0.04360270240005972,-0.03217158176943699,-0.058981233243967826,-0.07238605898123324,-0.058981233243967826,-0.10400695187165775,-0.021854953670705633,-0.058981233243967826,-0.1087824720347601,-0.02110917537746811,,,,,,,,
1,resynth_glvocos,0.8203753351206434,0.0,0.02680965147453083,0.013404825737265416,0.005361930294906166,0.13404825737265416,0.17962466487935658,-0.058981233243967826,0.0,-0.034852546916890076,-0.02680965147453083,-0.05898123324396781,0.02680965147453083,xtts,False,0.002688172043010753,0.04054328718962865,-0.034852546916890076,-0.058981233243967826,-0.05898123324396781,-0.058981233243967826,-0.10298802580417109,-0.021505376344086023,-0.058981233243967826,-0.11346558122573311,-0.023519149393961165,,,,,,,,
1,resynth_encodec,0.5871313672922251,0.064343163538874,0.10991957104557641,0.05361930294906166,0.024128686327077747,0.16085790884718498,-0.0536193029490617,0.00536193029490617,0.08310991957104558,0.00536193029490617,-0.008042895442359251,-0.03217158176943699,0.0777479892761394,xtts,False,0.005376344086021504,0.14211977585140195,-0.0777479892761394,-0.0777479892761394,-0.11528150134048257,,,,,,,-0.015958510638297868,0.02957188505347361,-0.15567710653462632,-0.01578947368421053,-0.024128686327077747,0.03421052631578947,-0.15723851900681166,-0.010664550264550274
