ssl,setting,spkdisjoint_macro_f1,ci_lo,ci_hi,chosen_layers,kmeans_ari_L0,kmeans_nmi_L0,nn_purity_L0,var_between_system_L0,var_between_speaker_L0
hubert,6way,0.6901504905028776,0.6592360825110158,0.7223224825146376,"[3, 3, 2, 3, 3]",0.00477225328525252,0.011620238874001815,0.7412868632707775,0.06879377340175831,0.6837261752509239
hubert,ttsonly,0.7417604838928986,0.7128124853726051,0.7718053591262254,"[12, 3, 6, 5, 6]",0.002037280858453429,0.005798130182192651,0.7572117962466488,0.062316385579409966,0.7157745862637659
