ssl,deepband_full,deepband_wer0_all,n_ids_wer0_all,n_samples
wavlm,0.7396756572579555,0.7364373102142536,205,1025
hubert,0.6851306966589543,0.6553287419016124,205,1025
xlsr,0.7775700083247795,0.7618047087258124,205,1025
w2v2lv60,0.7494803765348156,0.7641232809614091,205,1025
w2vbert,0.812819654304937,0.8141471378047568,205,1025
