layer,kway_loo,kway_spkdisjoint_f1,pairwise_min,pairwise_min_pair,f1_ci_lo,f1_ci_hi
0,0.5914209115281501,0.6612369290813604,0.7828418230563002,voc_mbmelgan|voc_hifigan,0.6099509976591806,0.7200284808782231
2,0.5694369973190349,0.7899779672133571,0.8418230563002681,voc_hifigan|voc_stylemelgan,,
4,0.5817694369973191,0.8580628084900216,0.839142091152815,voc_mbmelgan|voc_stylemelgan,,
8,0.43967828418230565,0.747326300010338,0.6528150134048257,voc_pwg|voc_stylemelgan,,
19,0.12064343163538874,0.47812696771411184,0.3042895442359249,voc_pwg|voc_stylemelgan,,
