ssl,setting,spkdisjoint_macro_f1,ci_lo,ci_hi,chosen_layers,kmeans_ari_L0,kmeans_nmi_L0,nn_purity_L0,var_between_system_L0,var_between_speaker_L0
w2vbert,6way,0.7809918696050252,0.7461947268503852,0.8153896965636098,"[3, 3, 3, 3, 3]",0.4500836145690026,0.554480293504067,0.7292225201072386,0.21304650058547486,0.12329012180619417
w2vbert,ttsonly,0.8178490216392177,0.7824379821358728,0.8487168117429599,"[3, 3, 3, 0, 19]",0.49648841349849027,0.605231853615247,0.8182305630026809,0.22994325872428412,0.12773750269559075
