ssl,band,macro_f1
wavlm,17-21,0.7396756572579555
wavlm,20-24,0.7234404104268772
wavlm,13-24,0.7739473254707679
hubert,17-21,0.6851306966589543
hubert,20-24,0.7302101298190776
hubert,13-24,0.7428090195833285
xlsr,17-21,0.7775700083247795
xlsr,20-24,0.750312578155428
xlsr,13-24,0.7775700083247795
w2v2lv60,17-21,0.7494803765348156
w2v2lv60,20-24,0.7525083407199317
w2v2lv60,13-24,0.7494803765348156
w2vbert,17-21,0.812819654304937
w2vbert,20-24,0.8090240087232864
w2vbert,13-24,0.812819654304937
