,f5tts,xtts,cosyvoice3,chatterbox,indextts
f5tts,0.9490616621983914,0.029490616621983913,0.0,0.01876675603217158,0.002680965147453083
xtts,0.0,0.9249329758713136,0.024128686327077747,0.032171581769437,0.01876675603217158
cosyvoice3,0.002680965147453083,0.013404825737265416,0.6085790884718498,0.32707774798927614,0.04825737265415549
chatterbox,0.005361930294906166,0.024128686327077747,0.10455764075067024,0.806970509383378,0.058981233243967826
indextts,0.0,0.013404825737265416,0.09919571045576407,0.1742627345844504,0.7131367292225201
