layer,probe,real,f5tts,xtts,cosyvoice3,chatterbox,indextts,dP_real,dP_f5tts,dP_xtts,dP_cosyvoice3,dP_chatterbox,dP_indextts,margin,top_class,target_aligned,margin_ci_lo,margin_ci_hi,S_chatterbox,S_cosyvoice3,S_f5tts,S_indextts,delta_target,delta_ci_lo,delta_ci_hi,S_target,S_ci_lo,S_ci_hi,dP_f5tts_lo,dP_f5tts_hi,S_f5tts_lo,S_f5tts_hi,dP_cosyvoice3_lo,dP_cosyvoice3_hi,S_cosyvoice3_lo,S_cosyvoice3_hi,dP_chatterbox_lo,dP_chatterbox_hi,S_chatterbox_lo,S_chatterbox_hi
0,clean_real,0.6407506702412868,0.021447721179624665,0.09919571045576407,0.09115281501340483,0.11528150134048257,0.032171581769437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,resynth_vocos,0.0938337801608579,0.5093833780160858,0.04825737265415549,0.10187667560321716,0.1581769436997319,0.08847184986595175,-0.546916890080429,0.4879356568364611,-0.05093833780160858,0.010723860589812326,0.04289544235924933,0.05630026809651475,0.4316353887399464,f5tts,True,0.259793825113966,0.5686826145552561,-0.44504021447721176,-0.4772117962466488,0.4316353887399464,-0.4316353887399464,0.4879356568364611,0.3875165810868635,0.6054813546423136,0.4316353887399464,0.2560614896628239,0.5695952647921337,,,,,,,,,,,,
0,resynth_bigvgan,0.08310991957104558,0.03753351206434316,0.032171581769437,0.4450402144772118,0.2868632707774799,0.11528150134048257,-0.5576407506702412,0.016085790884718495,-0.06702412868632707,0.353887399463807,0.17158176943699735,0.08310991957104558,0.18230563002680963,cosyvoice3,False,0.06162194891466407,0.28687254007187263,-0.18230563002680963,0.18230563002680963,-0.3378016085790885,-0.2707774798927614,0.08310991957104558,0.029173869529615135,0.14364065040650406,-0.2707774798927614,-0.374713840130315,-0.166655672823219,-0.013477088948787058,0.045101880877742945,-0.42588370661240793,-0.25405190905190905,0.2782042869641295,0.43561988214586367,0.06661725067385443,0.28767945205479456,0.11080231434033304,0.23592866641540028,-0.2915645806592054,-0.06928463611859845
0,resynth_griffinlim,0.10991957104557641,0.6380697050938338,0.05630026809651475,0.10187667560321716,0.02680965147453083,0.06702412868632708,-0.5308310991957105,0.6166219839142091,-0.042895442359249324,0.010723860589812326,-0.08847184986595173,0.03485254691689008,0.581769436997319,f5tts,True,0.4459386016451233,0.6948312334552116,-0.7050938337801608,-0.6058981233243967,0.581769436997319,-0.581769436997319,0.6166219839142091,0.507936507936508,0.7180851063829787,0.581769436997319,0.4428908248081841,0.6986932975871314,,,,,,,,,,,,
0,resynth_glvocos,0.11528150134048257,0.6568364611260054,0.05093833780160858,0.08579088471849866,0.029490616621983913,0.06166219839142091,-0.5254691689008043,0.6353887399463807,-0.04825737265415549,-0.00536193029490617,-0.08579088471849866,0.029490616621983913,0.6058981233243967,f5tts,True,0.4760255048200331,0.7290519276160503,-0.7211796246648794,-0.6407506702412868,0.6058981233243967,-0.6058981233243967,0.6353887399463807,0.5240447586257417,0.7346198391420912,0.6058981233243967,0.47311827956989255,0.722670652173913,,,,,,,,,,,,
0,resynth_encodec,0.0938337801608579,0.257372654155496,0.02680965147453083,0.3190348525469169,0.24932975871313673,0.05361930294906166,-0.546916890080429,0.2359249329758713,-0.07238605898123324,0.22788203753351205,0.13404825737265416,0.021447721179624665,0.008042895442359255,f5tts,False,0.0026593981037304473,0.1828080166942005,-0.10187667560321714,-0.008042895442359255,0.008042895442359255,-0.21447721179624663,,,,,,,0.15258400238966033,0.31452359617682196,-0.15041572475381956,0.17539974529503324,0.13569162897964554,0.331572471646001,-0.17371547340937202,0.1436567327309822,0.06610574860574861,0.20872555482311578,-0.2419008261452384,-0.02687634408602146
0,resynth_dac,0.09651474530831099,0.064343163538874,0.029490616621983913,0.43967828418230565,0.2734584450402145,0.09651474530831099,-0.5442359249329759,0.04289544235924933,-0.06970509383378015,0.3485254691689008,0.15817694369973193,0.06434316353887398,0.1903485254691689,cosyvoice3,False,0.08510201107548815,0.3110171581769437,-0.1903485254691689,0.1903485254691689,-0.30563002680965146,-0.28418230563002683,,,,,,,0.018917644059153495,0.07377319520740516,-0.4037238657221521,-0.21618645847920465,0.2660758064516129,0.4297773712049851,0.08601940524193552,0.30163815036733715,0.10567681283281835,0.213903743315508,-0.300839335377594,-0.08084631794398724
0,resynth_hift3,0.09919571045576407,0.021447721179624665,0.029490616621983913,0.5254691689008043,0.19839142091152814,0.1260053619302949,-0.5415549597855228,0.0,-0.06970509383378015,0.4343163538873995,0.08310991957104558,0.09383378016085792,0.34048257372654156,cosyvoice3,True,0.21446287508422815,0.44088368322239285,-0.3512064343163539,0.34048257372654156,-0.4343163538873995,-0.34048257372654156,0.4343163538873995,0.34562596670002727,0.5215082824760244,0.34048257372654156,0.21191367338567915,0.4373375,,,,,,,,,,,,
0,resynth_s3vc3,0.08310991957104558,0.029490616621983913,0.03485254691689008,0.5764075067024129,0.2037533512064343,0.07238605898123325,-0.5576407506702412,0.008042895442359248,-0.06434316353887398,0.4852546916890081,0.08847184986595175,0.04021447721179625,0.39678284182305634,cosyvoice3,True,0.21883158424381824,0.5526455767077267,-0.39678284182305634,0.39678284182305634,-0.47721179624664883,-0.4450402144772118,0.4852546916890081,0.3819604964001516,0.5978260869565217,0.39678284182305634,0.23881069120977294,0.5603463704699359,,,,,,,,,,,,
0,resynth_hiftcb,0.08579088471849866,0.045576407506702415,0.029490616621983913,0.2707774798927614,0.44235924932975873,0.1260053619302949,-0.5549597855227881,0.02412868632707775,-0.06970509383378015,0.17962466487935658,0.32707774798927614,0.09383378016085792,0.14745308310991956,chatterbox,True,0.03783022969350053,0.250706742834264,0.14745308310991956,-0.14745308310991956,-0.30294906166219837,-0.23324396782841822,0.32707774798927614,0.2499669312169312,0.4077180295780774,0.14745308310991956,0.03479204405477861,0.25203364637524495,,,,,,,,,,,,
