native,gl,target,role,n_utt,n_spk,G_native,G_gl,T_native,T_gl,P_native,P_gl,D_G,D_G_lo,D_G_hi,D_dP,D_dP_lo,D_dP_hi,D_T,D_T_lo,D_T_hi
resynth_vocos,resynth_glvocos,f5tts,primary,373,39,0.009255082214166268,0.013289959317238018,0.011483770273326229,0.00018135903667828353,0.5093833780160858,0.6568364611260054,-0.00403487710307175,-0.005085167070514423,-0.0030015108199459802,-0.14745308310991956,-0.23076923076923078,-0.0681152632981875,0.011302411236647946,0.01012679497240692,0.012478707000333565
resynth_hift3,resynth_glc3,cosyvoice3,primary,373,39,0.002855757126539706,-0.001169212901560295,0.008616834639224545,-0.01187184285222685,0.5254691689008043,0.0938337801608579,0.004024970028100001,0.0037280921753549304,0.004300691958713335,0.4316353887399464,0.34933333333333333,0.5133689839572193,0.020488677491451397,0.018304895672551294,0.022699747892155935
resynth_hiftcb,resynth_glcb,chatterbox,primary,373,39,0.0035221521959867296,-0.0032315382848795873,0.010167969775263809,-0.014338095929603474,0.44235924932975873,0.024128686327077747,0.006753690480866317,0.0063614391130229426,0.00715577254226636,0.41823056300268097,0.33152173913043476,0.5052638540796436,0.024506065704867283,0.022183401739399186,0.026833154326598312
resynth_s3vc3,resynth_glc3,cosyvoice3,descriptive (token round trip vs same-mel GL),373,39,0.003799761388321025,-0.001169212901560295,0.009427730743111618,-0.01187184285222685,0.5764075067024129,0.0938337801608579,0.0049689742898813205,0.004618612695370911,0.005310889711317805,0.48257372654155495,0.36507936507936506,0.5946684210526315,0.021299573595338468,0.017474568096428403,0.02525101807273802
resynth_s3vccb,resynth_glcb,chatterbox,descriptive (token round trip vs same-mel GL),373,39,0.0048158730083112744,-0.0032315382848795873,0.008902667035366192,-0.014338095929603474,0.43699731903485256,0.024128686327077747,0.008047411293190861,0.007378078252341961,0.008739354055790585,0.4128686327077748,0.30747609567542433,0.5133744332713323,0.023240762964969665,0.019370370441011735,0.02713502821766293
