pert,n_realizations,layers,clean_to_clean,perturbed_to_perturbed,clean_to_perturbed,matched_minus_mismatched,diff_ci_lo,diff_ci_hi
common,1,"[3, 3, 3, 3, 3]",0.7809918696050252,0.6547074864560892,0.5947131468497647,0.0599943396063245,0.0259596618513437,0.0949845872690087
common_sym,1,"[3, 3, 3, 3, 3]",0.7809918696050252,0.6557347753740624,0.5968047646818236,0.0589300106922388,0.02485757760094305,0.0916381583578373
mp3_64k,1,"[3, 3, 3, 3, 3]",0.7809918696050252,0.7584432476641391,0.7009018678060043,0.05754137985813479,0.023679527108358602,0.09309812271998223
lp4k,1,"[3, 3, 3, 3, 3]",0.7809918696050252,0.7289227951408997,0.4599300836669255,0.26899271147397424,0.22699500128101707,0.3134080902061307
hp2k,1,"[3, 3, 3, 3, 3]",0.7809918696050252,0.6434415788953884,0.06047471142399805,0.5829668674713904,0.552185281971722,0.6129460720808606
noise20,3,"[3, 3, 3, 3, 3]",0.7809918696050252,0.48641574071454013,0.15464272162907078,0.33177301908546936,0.28864973247085146,0.3703498407921342
phaserand,3,"[3, 3, 3, 3, 3]",0.7809918696050252,0.5908828673282761,0.22630434540582425,0.3645785219224519,0.33246531431450116,0.3934679815899526
