pert,n_realizations,layers,clean_to_clean,perturbed_to_perturbed,clean_to_perturbed,matched_minus_mismatched,diff_ci_lo,diff_ci_hi
common,1,"[4, 4, 4, 4, 4]",0.7153165053543131,0.6350005629833587,0.5683701397225668,0.06663042326079194,0.03834971501650603,0.09770842541771951
common_sym,1,"[4, 4, 4, 4, 4]",0.7153165053543131,0.6185308518157576,0.5200776255177809,0.0984532262979767,0.0682080399696417,0.13004226278105405
mp3_64k,1,"[4, 4, 4, 4, 4]",0.7153165053543131,0.680082920148374,0.6178972909947671,0.062185629153606925,0.045771217322372736,0.07847931997945336
lp4k,1,"[4, 4, 4, 4, 4]",0.7153165053543131,0.6728567699561864,0.5621199770322501,0.11073679292393623,0.08804163825723946,0.13562545298693582
hp2k,1,"[4, 4, 4, 4, 4]",0.7153165053543131,0.7379966125343994,0.23111465252542684,0.5068819600089726,0.45906866229592236,0.559698210315376
noise20,3,"[4, 4, 4, 4, 4]",0.7153165053543131,0.5172758767595523,0.2059424834755732,0.31133339328397913,0.28033504468485165,0.3429014939580062
phaserand,3,"[4, 4, 4, 4, 4]",0.7153165053543131,0.5294793089455259,0.21157876779143672,0.31790054115408917,0.2869483934340487,0.35349051704181905
