ssl,setting,method,class,recall,recall_change_vs_uniform
xlsr,ttsonly,uniform,cosyvoice3,0.5388739946380697,0.0
xlsr,ttsonly,uniform,chatterbox,0.839142091152815,0.0
xlsr,ttsonly,uniform,indextts,0.67828418230563,0.0
xlsr,ttsonly,tiebreak_distance,f5tts,0.9463806970509383,0.01072386058981234
xlsr,ttsonly,tiebreak_distance,xtts,0.967828418230563,0.018766756032171594
xlsr,ttsonly,tiebreak_distance,cosyvoice3,0.5844504021447721,0.04557640750670233
xlsr,ttsonly,tiebreak_distance,chatterbox,0.7935656836461126,-0.04557640750670244
xlsr,ttsonly,tiebreak_distance,indextts,0.7640750670241286,0.0857908847184986
xlsr,ttsonly,inverse_distance,f5tts,0.9463806970509383,0.01072386058981234
xlsr,ttsonly,inverse_distance,xtts,0.967828418230563,0.018766756032171594
xlsr,ttsonly,inverse_distance,cosyvoice3,0.5844504021447721,0.04557640750670233
xlsr,ttsonly,inverse_distance,chatterbox,0.7962466487935657,-0.04289544235924936
xlsr,ttsonly,inverse_distance,indextts,0.7640750670241286,0.0857908847184986
w2v2lv60,6way,uniform,real,0.5254691689008043,0.0
w2v2lv60,6way,uniform,f5tts,0.9115281501340483,0.0
w2v2lv60,6way,uniform,xtts,0.7560321715817694,0.0
w2v2lv60,6way,uniform,cosyvoice3,0.6166219839142091,0.0
w2v2lv60,6way,uniform,chatterbox,0.7506702412868632,0.0
w2v2lv60,6way,uniform,indextts,0.5281501340482574,0.0
w2v2lv60,6way,tiebreak_distance,real,0.579088471849866,0.0536193029490617
w2v2lv60,6way,tiebreak_distance,f5tts,0.9195710455764075,0.008042895442359144
w2v2lv60,6way,tiebreak_distance,xtts,0.8123324396782842,0.05630026809651478
w2v2lv60,6way,tiebreak_distance,cosyvoice3,0.6407506702412868,0.024128686327077764
w2v2lv60,6way,tiebreak_distance,chatterbox,0.67828418230563,-0.07238605898123318
w2v2lv60,6way,tiebreak_distance,indextts,0.5576407506702413,0.029490616621983934
w2v2lv60,6way,inverse_distance,real,0.579088471849866,0.0536193029490617
w2v2lv60,6way,inverse_distance,f5tts,0.9195710455764075,0.008042895442359144
w2v2lv60,6way,inverse_distance,xtts,0.8123324396782842,0.05630026809651478
w2v2lv60,6way,inverse_distance,cosyvoice3,0.6407506702412868,0.024128686327077764
w2v2lv60,6way,inverse_distance,chatterbox,0.67828418230563,-0.07238605898123318
w2v2lv60,6way,inverse_distance,indextts,0.5576407506702413,0.029490616621983934
w2v2lv60,ttsonly,uniform,f5tts,0.8579088471849866,0.0
w2v2lv60,ttsonly,uniform,xtts,0.8579088471849866,0.0
w2v2lv60,ttsonly,uniform,cosyvoice3,0.5227882037533512,0.0
w2v2lv60,ttsonly,uniform,chatterbox,0.7989276139410187,0.0
w2v2lv60,ttsonly,uniform,indextts,0.6541554959785523,0.0
w2v2lv60,ttsonly,tiebreak_distance,f5tts,0.8739946380697051,0.01608579088471851
w2v2lv60,ttsonly,tiebreak_distance,xtts,0.8954423592493298,0.03753351206434319
w2v2lv60,ttsonly,tiebreak_distance,cosyvoice3,0.5630026809651475,0.04021447721179627
w2v2lv60,ttsonly,tiebreak_distance,chatterbox,0.7292225201072386,-0.0697050938337801
w2v2lv60,ttsonly,tiebreak_distance,indextts,0.7587131367292225,0.1045576407506702
w2v2lv60,ttsonly,inverse_distance,f5tts,0.8739946380697051,0.01608579088471851
w2v2lv60,ttsonly,inverse_distance,xtts,0.8954423592493298,0.03753351206434319
w2v2lv60,ttsonly,inverse_distance,cosyvoice3,0.5630026809651475,0.04021447721179627
w2v2lv60,ttsonly,inverse_distance,chatterbox,0.7292225201072386,-0.0697050938337801
w2v2lv60,ttsonly,inverse_distance,indextts,0.7587131367292225,0.1045576407506702
w2vbert,6way,uniform,real,0.6407506702412868,0.0
w2vbert,6way,uniform,f5tts,0.9436997319034852,0.0
w2vbert,6way,uniform,xtts,0.9812332439678284,0.0
w2vbert,6way,uniform,cosyvoice3,0.5415549597855228,0.0
w2vbert,6way,uniform,chatterbox,0.8203753351206434,0.0
w2vbert,6way,uniform,indextts,0.774798927613941,0.0
w2vbert,6way,tiebreak_distance,real,0.6970509383378016,0.05630026809651478
w2vbert,6way,tiebreak_distance,f5tts,0.9571045576407506,0.013404825737265424
w2vbert,6way,tiebreak_distance,xtts,0.9892761394101877,0.008042895442359255
