native,gl,target,role,n_utt,n_spk,G_native,G_gl,T_native,T_gl,P_native,P_gl,D_G,D_G_lo,D_G_hi,D_dP,D_dP_lo,D_dP_hi,D_T,D_T_lo,D_T_hi
resynth_vocos,resynth_glvocos,f5tts,primary,373,39,0.010985735394360234,0.01703817962641371,0.012732701391061573,0.0018909059005512308,0.5737265415549598,0.7613941018766756,-0.006052444232053475,-0.007418061242255304,-0.004741088631920432,-0.1876675603217158,-0.2826741758241758,-0.09358288770053476,0.010841795490510342,0.009731110485291445,0.012001232337028659
resynth_hift3,resynth_glc3,cosyvoice3,primary,373,39,0.002818329284721661,-0.004670230417085397,0.008111377344054767,-0.016310155391693115,0.46648793565683644,0.032171581769437,0.007488559701807058,0.006990594456797784,0.007973284526623813,0.4343163538873995,0.3567704814189189,0.5120016085790885,0.024421532735747882,0.022228093847712092,0.026597810409889833
resynth_hiftcb,resynth_glcb,chatterbox,primary,373,39,0.0037756345307219763,-0.00575681797780556,0.009897914552816437,-0.018219461709500638,0.4932975871313673,0.029490616621983913,0.009532452508527536,0.008970251204108628,0.010093797857764068,0.46380697050938335,0.3598875661375661,0.565339344262295,0.028117376262317074,0.02595289076804463,0.030282900124709234
resynth_s3vc3,resynth_glc3,cosyvoice3,descriptive (token round trip vs same-mel GL),373,39,0.005962497667077399,-0.004670230417085397,0.009772288575568723,-0.016310155391693115,0.6380697050938338,0.032171581769437,0.010632728084162796,0.010067558678502345,0.011211997658389086,0.6058981233243967,0.5066666666666667,0.6997319034852547,0.026082443967261837,0.022534450175377776,0.029715949736126148
resynth_s3vccb,resynth_glcb,chatterbox,descriptive (token round trip vs same-mel GL),373,39,0.006385412436707729,-0.00575681797780556,0.008292866296486944,-0.018219461709500638,0.4772117962466488,0.029490616621983913,0.012142230414513289,0.011251290344795132,0.013056681376182492,0.4477211796246649,0.3405979821783636,0.5493333333333333,0.02651232800598758,0.023098250730414625,0.02995228353942939
