probe,target,sibling,dP_own,dP_own_lo,dP_own_hi,dP_sib,dP_sib_lo,dP_sib_hi,dP_diff,dP_diff_lo,dP_diff_hi,G_own,G_own_lo,G_own_hi,G_sib,G_sib_lo,G_sib_hi,G_diff,G_diff_lo,G_diff_hi
resynth_hift3,cosyvoice3,chatterbox,0.4343163538873995,0.35561497326203206,0.5210685927263468,0.08310991957104558,0.029098609540562044,0.1421144595359366,0.3512064343163539,0.24038828912879293,0.4574827868389864,0.002855757126539706,0.0025130928931890967,0.0032144375047910147,0.0015860817147963168,0.0013304647639935407,0.001847175235218704,0.001269675411743389,0.0009416291816930847,0.0016183585370294917
resynth_s3vc3,cosyvoice3,chatterbox,0.4852546916890081,0.3773164201937787,0.5967313439395272,0.08847184986595175,0.018758113447156766,0.16583429728166565,0.39678284182305634,0.23053771389362443,0.5549965520395741,0.003799761388321025,0.00332269652695703,0.004258236995804984,0.0023938963544272865,0.0018366108153931853,0.0029650003632093165,0.0014058650338937386,0.0008641942145805512,0.001983385476856871
resynth_hiftcb,chatterbox,cosyvoice3,0.32707774798927614,0.25457969780804424,0.4032258064516129,0.17962466487935658,0.10759505663396353,0.2520061445341159,0.14745308310991956,0.0345275450750768,0.2605291153415453,0.0035221521959867296,0.003223936379311572,0.003798182916711248,0.0010055865662986407,0.0005898422945938958,0.0014326519154775278,0.002516565629688089,0.0020930795767967075,0.002901646019860309
resynth_s3vccb,chatterbox,cosyvoice3,0.32171581769436997,0.24030438721558842,0.41447227694905714,0.22252010723860588,0.12862777105134193,0.32272841530054636,0.09919571045576409,-0.06356476448600915,0.2645638045244344,0.0048158730083112744,0.004243994097096487,0.005473183230609593,0.0021858510159295623,0.0016889733231294454,0.002748494777261936,0.002630021992381712,0.0020393888359975135,0.003271640629088519
