ssl,setting,method,true,pred,rate
wavlm,6way,inverse_distance,xtts,f5tts,0.0
wavlm,6way,inverse_distance,xtts,xtts,0.9276139410187667
wavlm,6way,inverse_distance,xtts,cosyvoice3,0.032171581769437
wavlm,6way,inverse_distance,xtts,chatterbox,0.03485254691689008
wavlm,6way,inverse_distance,xtts,indextts,0.002680965147453083
wavlm,6way,inverse_distance,cosyvoice3,real,0.03485254691689008
wavlm,6way,inverse_distance,cosyvoice3,f5tts,0.00804289544235925
wavlm,6way,inverse_distance,cosyvoice3,xtts,0.0160857908847185
wavlm,6way,inverse_distance,cosyvoice3,cosyvoice3,0.6541554959785523
wavlm,6way,inverse_distance,cosyvoice3,chatterbox,0.2225201072386059
wavlm,6way,inverse_distance,cosyvoice3,indextts,0.064343163538874
wavlm,6way,inverse_distance,chatterbox,real,0.021447721179624665
wavlm,6way,inverse_distance,chatterbox,f5tts,0.00804289544235925
wavlm,6way,inverse_distance,chatterbox,xtts,0.02680965147453083
wavlm,6way,inverse_distance,chatterbox,cosyvoice3,0.1447721179624665
wavlm,6way,inverse_distance,chatterbox,chatterbox,0.739946380697051
wavlm,6way,inverse_distance,chatterbox,indextts,0.058981233243967826
wavlm,6way,inverse_distance,indextts,real,0.032171581769437
wavlm,6way,inverse_distance,indextts,f5tts,0.0
wavlm,6way,inverse_distance,indextts,xtts,0.024128686327077747
wavlm,6way,inverse_distance,indextts,cosyvoice3,0.10187667560321716
wavlm,6way,inverse_distance,indextts,chatterbox,0.1260053619302949
wavlm,6way,inverse_distance,indextts,indextts,0.7158176943699732
wavlm,ttsonly,uniform,f5tts,f5tts,0.9490616621983914
wavlm,ttsonly,uniform,f5tts,xtts,0.029490616621983913
wavlm,ttsonly,uniform,f5tts,cosyvoice3,0.0
wavlm,ttsonly,uniform,f5tts,chatterbox,0.01876675603217158
wavlm,ttsonly,uniform,f5tts,indextts,0.002680965147453083
wavlm,ttsonly,uniform,xtts,f5tts,0.0
wavlm,ttsonly,uniform,xtts,xtts,0.9249329758713136
wavlm,ttsonly,uniform,xtts,cosyvoice3,0.024128686327077747
wavlm,ttsonly,uniform,xtts,chatterbox,0.032171581769437
wavlm,ttsonly,uniform,xtts,indextts,0.01876675603217158
wavlm,ttsonly,uniform,cosyvoice3,f5tts,0.002680965147453083
wavlm,ttsonly,uniform,cosyvoice3,xtts,0.013404825737265416
wavlm,ttsonly,uniform,cosyvoice3,cosyvoice3,0.6085790884718498
wavlm,ttsonly,uniform,cosyvoice3,chatterbox,0.32707774798927614
wavlm,ttsonly,uniform,cosyvoice3,indextts,0.04825737265415549
wavlm,ttsonly,uniform,chatterbox,f5tts,0.005361930294906166
wavlm,ttsonly,uniform,chatterbox,xtts,0.024128686327077747
wavlm,ttsonly,uniform,chatterbox,cosyvoice3,0.10455764075067024
wavlm,ttsonly,uniform,chatterbox,chatterbox,0.806970509383378
wavlm,ttsonly,uniform,chatterbox,indextts,0.058981233243967826
wavlm,ttsonly,uniform,indextts,f5tts,0.0
wavlm,ttsonly,uniform,indextts,xtts,0.013404825737265416
wavlm,ttsonly,uniform,indextts,cosyvoice3,0.09919571045576407
wavlm,ttsonly,uniform,indextts,chatterbox,0.1742627345844504
wavlm,ttsonly,uniform,indextts,indextts,0.7131367292225201
wavlm,ttsonly,tiebreak_distance,f5tts,f5tts,0.9490616621983914
wavlm,ttsonly,tiebreak_distance,f5tts,xtts,0.032171581769437
wavlm,ttsonly,tiebreak_distance,f5tts,cosyvoice3,0.0
wavlm,ttsonly,tiebreak_distance,f5tts,chatterbox,0.013404825737265416
wavlm,ttsonly,tiebreak_distance,f5tts,indextts,0.005361930294906166
wavlm,ttsonly,tiebreak_distance,xtts,f5tts,0.0
wavlm,ttsonly,tiebreak_distance,xtts,xtts,0.935656836461126
wavlm,ttsonly,tiebreak_distance,xtts,cosyvoice3,0.024128686327077747
wavlm,ttsonly,tiebreak_distance,xtts,chatterbox,0.02680965147453083
wavlm,ttsonly,tiebreak_distance,xtts,indextts,0.013404825737265416
wavlm,ttsonly,tiebreak_distance,cosyvoice3,f5tts,0.00804289544235925
wavlm,ttsonly,tiebreak_distance,cosyvoice3,xtts,0.01876675603217158
wavlm,ttsonly,tiebreak_distance,cosyvoice3,cosyvoice3,0.6300268096514745
wavlm,ttsonly,tiebreak_distance,cosyvoice3,chatterbox,0.26273458445040215
wavlm,ttsonly,tiebreak_distance,cosyvoice3,indextts,0.08042895442359249
wavlm,ttsonly,tiebreak_distance,chatterbox,f5tts,0.010723860589812333
wavlm,ttsonly,tiebreak_distance,chatterbox,xtts,0.029490616621983913
wavlm,ttsonly,tiebreak_distance,chatterbox,cosyvoice3,0.11528150134048257
wavlm,ttsonly,tiebreak_distance,chatterbox,chatterbox,0.7721179624664879
wavlm,ttsonly,tiebreak_distance,chatterbox,indextts,0.07238605898123325
wavlm,ttsonly,tiebreak_distance,indextts,f5tts,0.002680965147453083
wavlm,ttsonly,tiebreak_distance,indextts,xtts,0.024128686327077747
wavlm,ttsonly,tiebreak_distance,indextts,cosyvoice3,0.08579088471849866
wavlm,ttsonly,tiebreak_distance,indextts,chatterbox,0.09919571045576407
wavlm,ttsonly,tiebreak_distance,indextts,indextts,0.7882037533512064
wavlm,ttsonly,inverse_distance,f5tts,f5tts,0.9490616621983914
wavlm,ttsonly,inverse_distance,f5tts,xtts,0.032171581769437
wavlm,ttsonly,inverse_distance,f5tts,cosyvoice3,0.0
wavlm,ttsonly,inverse_distance,f5tts,chatterbox,0.013404825737265416
wavlm,ttsonly,inverse_distance,f5tts,indextts,0.005361930294906166
wavlm,ttsonly,inverse_distance,xtts,f5tts,0.0
wavlm,ttsonly,inverse_distance,xtts,xtts,0.935656836461126
wavlm,ttsonly,inverse_distance,xtts,cosyvoice3,0.024128686327077747
wavlm,ttsonly,inverse_distance,xtts,chatterbox,0.02680965147453083
wavlm,ttsonly,inverse_distance,xtts,indextts,0.013404825737265416
wavlm,ttsonly,inverse_distance,cosyvoice3,f5tts,0.00804289544235925
wavlm,ttsonly,inverse_distance,cosyvoice3,xtts,0.01876675603217158
wavlm,ttsonly,inverse_distance,cosyvoice3,cosyvoice3,0.6353887399463807
