probe,target,shift_f5tts,shift_xtts,shift_cosyvoice3,shift_chatterbox,shift_indextts,contrast,contrast_lo,contrast_hi,T,T_lo,T_hi,G,G_lo,G_hi,max_abs_shift_class,min_shift,mean_shift,matched_minus_unmatched_target_shift,mmu_lo,mmu_hi,contrast_of_contrasts,coc_lo,coc_hi,G_adj,G_adj_lo,G_adj_hi,controls,n_boot,G_min,G_min_lo,G_min_hi
resynth_glc3_vs_unmatched,cosyvoice3,,,,,,,,,,,,,,,,,,0.07733489425188735,0.0728736021939122,0.08165706441201874,0.011594303911077432,0.010306413638677032,0.012941749169779115,-0.011594303911077432,-0.012941749169779115,-0.010306413638677032,,,,,
resynth_glc3_vs_strongest,cosyvoice3,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,-0.019710374581590095,-0.02164107242200233,-0.017791025713541023
resynth_glcb_vs_unmatched,chatterbox,,,,,,,,,,,,,,,,,,0.0695203314198246,0.06564767055983468,0.0735948360443077,0.014430004154549205,0.013167451829515463,0.01563608735415122,-0.014430004154549205,-0.01563608735415122,-0.013167451829515463,,,,,
resynth_glcb_vs_strongest,chatterbox,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,-0.0243991532690084,-0.025607804024820637,-0.023181922075542052
resynth_encodec_under_chatterbox,chatterbox,,,,,,,,,-0.041202184022591515,-0.04674029427271151,-0.035270139687014763,-0.019926733889145124,-0.021370908830251494,-0.01855356289318342,,,,,,,,,,,,,,,,,
resynth_encodec_under_cosyvoice3,cosyvoice3,,,,,,,,,-0.036988285207876254,-0.04270107299435718,-0.0302694456875752,-0.01465936037075104,-0.01625427959187863,-0.012959863978219298,,,,,,,,,,,,,,,,,
resynth_encodec_under_f5tts,f5tts,,,,,,,,,-0.009177791209387077,-0.014145439859651854,-0.0037859668636892703,0.020103757127360428,0.01429934088553145,0.025217826383552206,,,,,,,,,,,,,,,,,
resynth_encodec_under_indextts,indextts,,,,,,,,,-0.05303576133206447,-0.05975185158227675,-0.04484424408385039,-0.03471870552598631,-0.03879465716056347,-0.030361417684025914,,,,,,,,,,,,,,,,,
resynth_dac_under_chatterbox,chatterbox,,,,,,,,,0.002166029275582239,0.0008892679986841394,0.0038248721074852082,1.1564339773265031e-05,-0.000401059271747707,0.0005413640062303964,,,,,,,,,,,,,,,,,
resynth_dac_under_cosyvoice3,cosyvoice3,,,,,,,,,0.003415002579983054,0.0021045794041197638,0.005123754806796387,0.0015727809702742834,0.0010724280818210042,0.00223228724003736,,,,,,,,,,,,,,,,,
resynth_dac_under_f5tts,f5tts,,,,,,,,,0.004855904917934305,0.003561396878766504,0.006506387959611991,0.0033739088927133474,0.002825307314842498,0.00399419471106659,,,,,,,,,,,,,,,,,
resynth_dac_under_indextts,indextts,,,,,,,,,-0.0030407630726095817,-0.004198448495885947,-0.00177071200223385,-0.0064969260954665115,-0.007270684000912527,-0.005734159276976616,,,,,,,,,,,,,,,,,
resynth_bigvgan_under_chatterbox,chatterbox,,,,,,,,,0.0005560116218178265,7.382102032547582e-05,0.001041403772725663,-0.0005905895865954279,-0.0007394440135811703,-0.0004266475201943117,,,,,,,,,,,,,,,,,
resynth_bigvgan_under_cosyvoice3,cosyvoice3,,,,,,,,,0.0009197236385805678,0.00045070824799714265,0.0014109189353015042,-0.00013594956564200148,-0.000311039507884398,4.871716161978289e-05,,,,,,,,,,,,,,,,,
resynth_bigvgan_under_f5tts,f5tts,,,,,,,,,0.001421553999105663,0.0009091727381181329,0.0020137892211803407,0.0004913383850143678,0.00021790145020174795,0.0007817906819940374,,,,,,,,,,,,,,,,,
