layer,probe,real,f5tts,xtts,cosyvoice3,chatterbox,indextts,dP_real,dP_f5tts,dP_xtts,dP_cosyvoice3,dP_chatterbox,dP_indextts,margin,top_class,target_aligned,margin_ci_lo,margin_ci_hi,S_chatterbox,S_cosyvoice3,S_f5tts,S_indextts,delta_target,delta_ci_lo,delta_ci_hi,S_target,S_ci_lo,S_ci_hi,dP_f5tts_lo,dP_f5tts_hi,S_f5tts_lo,S_f5tts_hi,dP_cosyvoice3_lo,dP_cosyvoice3_hi,S_cosyvoice3_lo,S_cosyvoice3_hi,dP_chatterbox_lo,dP_chatterbox_hi,S_chatterbox_lo,S_chatterbox_hi
0,clean_real,0.6219839142091153,0.02680965147453083,0.10187667560321716,0.08847184986595175,0.1260053619302949,0.03485254691689008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,resynth_vocos,0.06702412868632708,0.5737265415549598,0.07238605898123325,0.08042895442359249,0.1260053619302949,0.08042895442359249,-0.5549597855227881,0.546916890080429,-0.029490616621983906,-0.008042895442359255,0.0,0.04557640750670241,0.5013404825737265,f5tts,True,0.3628697108267745,0.6243467807140729,-0.546916890080429,-0.5549597855227882,0.5013404825737265,-0.5013404825737265,0.546916890080429,0.43783783783783786,0.6553915407477362,0.5013404825737265,0.357321411331348,0.6236566213921902,,,,,,,,,,,,
0,resynth_bigvgan,0.08847184986595175,0.04825737265415549,0.045576407506702415,0.35924932975871315,0.3485254691689008,0.10991957104557641,-0.5335120643431635,0.021447721179624662,-0.05630026809651474,0.2707774798927614,0.2225201072386059,0.07506702412868632,0.0482573726541555,cosyvoice3,False,0.0026176301723784164,0.15512937118358777,-0.0482573726541555,0.0482573726541555,-0.24932975871313676,-0.1957104557640751,0.07506702412868632,0.024923917580541112,0.12843072448439977,-0.1957104557640751,-0.28572383498854087,-0.11557046536224222,-0.016400273224043718,0.06521739130434782,-0.33885996448692374,-0.17566044160871747,0.20157853378940555,0.3460490463215259,-0.07069068239944203,0.15511156435129797,0.15117723396366334,0.30002688172043007,-0.1769630780608871,0.08003252032520329
0,resynth_griffinlim,0.10991957104557641,0.7560321715817694,0.05361930294906166,0.03753351206434316,0.01876675603217158,0.024128686327077747,-0.5120643431635389,0.7292225201072385,-0.04825737265415549,-0.050938337801608585,-0.10723860589812333,-0.010723860589812336,0.7399463806970509,f5tts,True,0.6064668520961174,0.8469813963004248,-0.8364611260053618,-0.7801608579088471,0.7399463806970509,-0.7399463806970509,0.7292225201072385,0.6276356600382631,0.8284510180421708,0.7399463806970509,0.6110957642725598,0.8481693128449609,,,,,,,,,,,,
0,resynth_glvocos,0.10723860589812333,0.7613941018766756,0.06166219839142091,0.03753351206434316,0.01876675603217158,0.013404825737265416,-0.514745308310992,0.7345844504021447,-0.040214477211796246,-0.050938337801608585,-0.10723860589812333,-0.021447721179624665,0.7560321715817694,f5tts,True,0.6387954083955398,0.8599031646201457,-0.841823056300268,-0.7855227882037533,0.7560321715817694,-0.7560321715817694,0.7345844504021447,0.6289821272885789,0.832,0.7560321715817694,0.6286395906324913,0.8598570633676101,,,,,,,,,,,,
0,resynth_encodec,0.08310991957104558,0.289544235924933,0.03753351206434316,0.24664879356568364,0.30563002680965146,0.03753351206434316,-0.5388739946380696,0.26273458445040215,-0.064343163538874,0.1581769436997319,0.17962466487935655,0.002680965147453078,0.0831099195710456,f5tts,False,0.002680785938552856,0.21011328624578537,-0.0831099195710456,-0.10455764075067026,0.0831099195710456,-0.26005361930294907,,,,,,,0.1830476392549247,0.3431123147667647,-0.06968756954196306,0.21238978494623653,0.07370218579234973,0.2506670299727521,-0.26345114477827897,0.040557246807246795,0.11403708523096943,0.252002624671916,-0.21109575463137467,0.034219624860022384
0,resynth_dac,0.08579088471849866,0.08042895442359249,0.04289544235924933,0.3753351206434316,0.3163538873994638,0.09919571045576407,-0.5361930294906165,0.053619302949061656,-0.058981233243967826,0.28686327077747986,0.1903485254691689,0.06434316353887398,0.09651474530831097,cosyvoice3,False,0.007978194311191402,0.21038961748633886,-0.09651474530831097,0.09651474530831097,-0.23324396782841822,-0.22252010723860588,,,,,,,0.015956388622382755,0.10026403100442616,-0.33425438916004957,-0.13751794157379268,0.20214274845665597,0.3648713086383386,-0.010699565556421925,0.20801126760563377,0.13756105006105004,0.25539035237041446,-0.20953004680658313,0.01604493703639817
0,resynth_hift3,0.0938337801608579,0.040214477211796246,0.03753351206434316,0.46648793565683644,0.23056300268096513,0.13136729222520108,-0.5281501340482574,0.013404825737265414,-0.064343163538874,0.3780160857908847,0.10455764075067023,0.096514745308311,0.27345844504021444,cosyvoice3,True,0.1625941769888903,0.3641729722264622,-0.27345844504021444,0.27345844504021444,-0.36461126005361927,-0.2815013404825737,0.3780160857908847,0.30604846549090403,0.4570006863417982,0.27345844504021444,0.1602967146234575,0.3608948302191879,,,,,,,,,,,,
0,resynth_s3vc3,0.05361930294906166,0.010723860589812333,0.045576407506702415,0.6380697050938338,0.19302949061662197,0.058981233243967826,-0.5683646112600536,-0.0160857908847185,-0.05630026809651474,0.549597855227882,0.06702412868632707,0.024128686327077743,0.4825737265415549,cosyvoice3,True,0.3253540100250627,0.6164525898078528,-0.4825737265415549,0.4825737265415549,-0.5656836461126005,-0.5254691689008042,0.549597855227882,0.4573987784595975,0.6390506572178021,0.4825737265415549,0.3449174810990226,0.6223004097884213,,,,,,,,,,,,
0,resynth_hiftcb,0.06970509383378017,0.06970509383378017,0.032171581769437,0.21983914209115282,0.4932975871313673,0.11528150134048257,-0.552278820375335,0.04289544235924933,-0.06970509383378015,0.13136729222520108,0.3672922252010724,0.08042895442359249,0.23592493297587133,chatterbox,True,0.11485430682536947,0.3541749338624338,0.23592493297587133,-0.23592493297587133,-0.32439678284182305,-0.2868632707774799,0.3672922252010724,0.27499831536388136,0.46277575587905934,0.23592493297587133,0.11649221772966395,0.34505347593582875,,,,,,,,,,,,
0,resynth_s3vccb,0.0938337801608579,0.045576407506702415,0.021447721179624665,0.2734584450402145,0.4772117962466488,0.08847184986595175,-0.5281501340482574,0.018766756032171584,-0.08042895442359249,0.18498659517426275,0.3512064343163539,0.05361930294906166,0.16621983914209115,chatterbox,True,0.015898184551341375,0.31855594287564504,0.16621983914209115,-0.16621983914209115,-0.3324396782841823,-0.29758713136729226,0.3512064343163539,0.2594224410580794,0.45217617412185174,0.16621983914209115,-0.0055751528589666295,0.3342618987679185,,,,,,,,,,,,
2,clean_real,0.4745308310991957,0.02680965147453083,0.10991957104557641,0.16085790884718498,0.19302949061662197,0.03485254691689008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,resynth_vocos,0.04289544235924933,0.6327077747989276,0.058981233243967826,0.08579088471849866,0.1260053619302949,0.05361930294906166,-0.43163538873994634,0.6058981233243967,-0.050938337801608585,-0.07506702412868632,-0.06702412868632707,0.01876675603217158,0.5871313672922251,f5tts,True,0.47449911112385484,0.7035361228995813,-0.6729222520107239,-0.6809651474530831,0.5871313672922251,-0.5871313672922251,0.6058981233243967,0.4959983739837399,0.7182492160668956,0.5871313672922251,0.4651610307141649,0.7100955717003977,,,,,,,,,,,,
2,resynth_bigvgan,0.10187667560321716,0.029490616621983913,0.06970509383378017,0.3351206434316354,0.3726541554959786,0.09115281501340483,-0.3726541554959785,0.0026809651474530814,-0.040214477211796246,0.1742627345844504,0.1796246648793566,0.05630026809651475,0.0053619302949061975,chatterbox,False,2.7755575615628914e-17,0.09810043335845553,0.0053619302949061975,-0.0053619302949061975,-0.17694369973190352,-0.12332439678284185,0.05630026809651475,0.018666666666666665,0.098937112012731,-0.12332439678284185,-0.20375462612192563,-0.07290826612903226,-0.021987230646448523,0.032560335445874104,-0.2520112687722051,-0.14020239142270804,0.1179234577357902,0.2309883788159112,-0.09408602150537632,0.07924039973051875,0.13191744202194142,0.22850034317089912,-0.07609267734553776,0.09575748094208672
2,resynth_griffinlim,0.064343163538874,0.8981233243967829,0.032171581769437,0.005361930294906166,0.0,0.0,-0.4101876675603217,0.871313672922252,-0.0777479892761394,-0.1554959785522788,-0.19302949061662197,-0.03485254691689008,0.9061662198391421,f5tts,True,0.8360104556125554,0.9701107208082951,-1.064343163538874,-1.0268096514745308,0.9061662198391421,-0.9061662198391421,0.871313672922252,0.8036609041323842,0.9282009878419453,0.9061662198391421,0.8378158049353701,0.9667725890087329,,,,,,,,,,,,
2,resynth_glvocos,0.05361930294906166,0.903485254691689,0.032171581769437,0.00804289544235925,0.0,0.002680965147453083,-0.42091152815013405,0.8766756032171582,-0.0777479892761394,-0.15281501340482573,-0.19302949061662197,-0.032171581769437,0.9088471849865952,f5tts,True,0.8296159029649596,0.9655240471869329,-1.0697050938337802,-1.029490616621984,0.9088471849865952,-0.9088471849865952,0.8766756032171582,0.8112823010664479,0.9360126984126984,0.9088471849865952,0.8324210796162016,0.9726101644578089,,,,,,,,,,,,
2,resynth_encodec,0.12064343163538874,0.3485254691689008,0.06970509383378017,0.17962466487935658,0.225201072386059,0.05630026809651475,-0.353887399463807,0.32171581769436997,-0.040214477211796246,0.018766756032171594,0.03217158176943702,0.021447721179624665,0.28954423592493295,f5tts,False,0.13242740674558856,0.41085051358636265,-0.28954423592493295,-0.30294906166219837,0.28954423592493295,-0.3002680965147453,,,,,,,0.2180706445058976,0.41845921397983143,0.11756492490613268,0.41711809631465296,-0.05649150991573749,0.09841741096825578,-0.46811220124351144,-0.14614361702127673,-0.046745391705069125,0.10247917012927885,-0.43853487134977737,-0.12532500000000002
2,resynth_dac,0.12332439678284182,0.05361930294906166,0.064343163538874,0.3190348525469169,0.3512064343163539,0.08847184986595175,-0.3512064343163539,0.02680965147453083,-0.045576407506702415,0.1581769436997319,0.15817694369973193,0.05361930294906166,2.7755575615628914e-17,chatterbox,False,0.002539062500000023,0.09361798569271794,2.7755575615628914e-17,-2.7755575615628914e-17,-0.1313672922252011,-0.10455764075067026,,,,,,,0.0026663129973474803,0.0582049176876763,-0.20671342456578323,-0.09350216450216449,0.10325594949739614,0.221673499204082,-0.088,0.0943459969403365,0.11652329158426719,0.20580668943038957,-0.08777180851063827,0.08357962733096484
2,resynth_hift3,0.0938337801608579,0.01876675603217158,0.05630026809651475,0.43699731903485256,0.28150134048257375,0.1126005361930295,-0.3806970509383378,-0.008042895442359251,-0.05361930294906166,0.2761394101876676,0.08847184986595177,0.0777479892761394,0.1876675603217158,cosyvoice3,True,0.07671939552076541,0.27717391304347827,-0.1876675603217158,0.1876675603217158,-0.28418230563002683,-0.19839142091152817,0.2761394101876676,0.19895217587119293,0.35640197568389054,0.1876675603217158,0.0768716577540107,0.28648192659702315,,,,,,,,,,,,
2,resynth_s3vc3,0.032171581769437,0.010723860589812333,0.058981233243967826,0.6729222520107239,0.1876675603217158,0.03753351206434316,-0.4423592493297587,-0.0160857908847185,-0.050938337801608585,0.5120643431635389,-0.00536193029490617,0.002680965147453078,0.5093833780160858,cosyvoice3,True,0.3782365042207561,0.6109702575938059,-0.517426273458445,0.5093833780160858,-0.5281501340482574,-0.5093833780160858,0.5120643431635389,0.41688654353562005,0.6039054728271682,0.5093833780160858,0.35922035115665507,0.6027155640895587,,,,,,,,,,,,
2,resynth_hiftcb,0.064343163538874,0.04825737265415549,0.05630026809651475,0.19302949061662197,0.5361930294906166,0.10187667560321716,-0.4101876675603217,0.021447721179624662,-0.05361930294906166,0.03217158176943699,0.34316353887399464,0.06702412868632707,0.2761394101876676,chatterbox,True,0.1706553191489362,0.36704574468085105,0.2761394101876676,-0.3109919571045576,-0.32171581769436997,-0.2761394101876676,0.34316353887399464,0.2751607118072043,0.4130479698167445,0.2761394101876676,0.1644431882419446,0.3702727727727727,,,,,,,,,,,,
2,resynth_s3vccb,0.04825737265415549,0.01876675603217158,0.05093833780160858,0.24932975871313673,0.5924932975871313,0.040214477211796246,-0.4262734584450402,-0.008042895442359251,-0.05898123324396783,0.08847184986595175,0.3994638069705093,0.005361930294906163,0.31099195710455757,chatterbox,True,0.16242243491402006,0.45092838196286467,0.31099195710455757,-0.31099195710455757,-0.40750670241286857,-0.39410187667560315,0.3994638069705093,0.310955253415039,0.48670562709966403,0.31099195710455757,0.15989972144846792,0.447370194353809,,,,,,,,,,,,
4,clean_real,0.30294906166219837,0.04289544235924933,0.128686327077748,0.1769436997319035,0.2520107238605898,0.09651474530831099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,resynth_vocos,0.06702412868632708,0.5898123324396782,0.08310991957104558,0.09651474530831099,0.12064343163538874,0.04289544235924933,-0.2359249329758713,0.5469168900804289,-0.045576407506702415,-0.0804289544235925,-0.13136729222520108,-0.053619302949061656,0.5924932975871313,f5tts,True,0.4602739726027398,0.7037698412698412,-0.6782841823056299,-0.6273458445040214,0.5924932975871313,-0.6005361930294906,0.5469168900804289,0.44148755000289874,0.6402440850554058,0.5924932975871313,0.45350990619794856,0.6978811051693404,,,,,,,,,,,,
4,resynth_bigvgan,0.10455764075067024,0.04825737265415549,0.09651474530831099,0.2975871313672922,0.353887399463807,0.09919571045576407,-0.19839142091152812,0.005361930294906163,-0.032171581769437005,0.12064343163538871,0.10187667560321717,0.002680965147453085,0.01876675603217154,cosyvoice3,False,0.002638348840438784,0.10485287707061906,-0.01876675603217154,0.01876675603217154,-0.11528150134048254,-0.11796246648793562,0.002680965147453085,-0.026955999125810457,0.0374331550802139,-0.11796246648793562,-0.18138221024258758,-0.07253504007556709,-0.010582712306850237,0.021508282476024404,-0.17728866946653557,-0.08113916568147274,0.07123992482018288,0.17261199555720105,-0.06321142093200917,0.09974397183324933,0.054196879806635866,0.14785942526736803,-0.09920907914989559,0.06366471019809243
4,resynth_griffinlim,0.06702412868632708,0.8579088471849866,0.045576407506702415,0.005361930294906166,0.0,0.024128686327077747,-0.2359249329758713,0.8150134048257373,-0.08310991957104558,-0.17158176943699732,-0.2520107238605898,-0.07238605898123324,0.8873994638069704,f5tts,True,0.7886075328581703,0.9517458531060486,-1.0670241286863271,-0.9865951742627346,0.8873994638069704,-0.8873994638069704,0.8150134048257373,0.7432413971348397,0.8817322138753867,0.8873994638069704,0.7924027826435113,0.951239024390244,,,,,,,,,,,,
4,resynth_glvocos,0.06702412868632708,0.8418230563002681,0.03485254691689008,0.005361930294906166,0.0,0.05093833780160858,-0.2359249329758713,0.7989276139410187,-0.09383378016085792,-0.17158176943699732,-0.2520107238605898,-0.04557640750670241,0.8445040214477212,f5tts,True,0.749983681462141,0.9326280683800107,-1.0509383378016086,-0.9705093833780161,0.8445040214477212,-0.8445040214477212,0.7989276139410187,0.7234000888839509,0.8663320939171123,0.8445040214477212,0.7401202099737533,0.9315789473684211,,,,,,,,,,,,
4,resynth_encodec,0.11528150134048257,0.40482573726541554,0.19839142091152814,0.13672922252010725,0.08847184986595175,0.05630026809651475,-0.1876675603217158,0.36193029490616624,0.06970509383378015,-0.040214477211796246,-0.16353887399463807,-0.04021447721179624,0.2922252010723861,f5tts,False,0.14284735812133073,0.4368709207054576,-0.5254691689008043,-0.4021447721179625,0.2922252010723861,-0.40214477211796246,,,,,,,0.2639896739130435,0.45913326632323986,0.1432335907335907,0.43433682341859287,-0.11346396811436388,0.038472222222222185,-0.5559234556413533,-0.2326048128342246,-0.24476482989241063,-0.09308510638297873,-0.6720613072116196,-0.38164408602150546
4,resynth_dac,0.128686327077748,0.06166219839142091,0.1126005361930295,0.2761394101876676,0.3109919571045576,0.10991957104557641,-0.17426273458445038,0.01876675603217158,-0.016085790884718495,0.09919571045576409,0.05898123324396781,0.013404825737265424,0.04021447721179627,cosyvoice3,False,0.00267379679144386,0.09840990236082771,-0.04021447721179627,0.04021447721179627,-0.0804289544235925,-0.08579088471849866,,,,,,,0.005390835579514825,0.034852546916890076,-0.12738699186991873,-0.042286101432442956,0.06315789473684211,0.14445246336254508,-0.028653371710526322,0.10080318447333711,0.021390374331550832,0.09948903396484039,-0.1031883232016211,0.02612536825791316
4,resynth_hift3,0.08579088471849866,0.03485254691689008,0.1260053619302949,0.3806970509383378,0.30294906166219837,0.06970509383378017,-0.2171581769436997,-0.008042895442359248,-0.002680965147453085,0.20375335120643429,0.05093833780160856,-0.02680965147453082,0.15281501340482573,cosyvoice3,True,0.057668918918918885,0.2506907918700371,-0.15281501340482573,0.15281501340482573,-0.21179624664879354,-0.2305630026809651,0.20375335120643429,0.15013069705093834,0.26220151470151465,0.15281501340482573,0.058973369079535286,0.2466284731528634,,,,,,,,,,,,
4,resynth_s3vc3,0.021447721179624665,0.00804289544235925,0.06166219839142091,0.6541554959785523,0.2225201072386059,0.032171581769437,-0.2815013404825737,-0.03485254691689008,-0.06702412868632708,0.4772117962466488,-0.029490616621983906,-0.06434316353887398,0.5067024128686327,cosyvoice3,True,0.38560260358342663,0.566417830405217,-0.5067024128686327,0.5067024128686327,-0.5120643431635389,-0.5415549597855227,0.4772117962466488,0.4112865791049884,0.5397355505091203,0.5067024128686327,0.38458005249343835,0.567648275862069,,,,,,,,,,,,
4,resynth_hiftcb,0.06970509383378017,0.05630026809651475,0.11528150134048257,0.1903485254691689,0.514745308310992,0.05361930294906166,-0.23324396782841822,0.013404825737265418,-0.013404825737265424,0.013404825737265397,0.26273458445040215,-0.042895442359249324,0.24932975871313673,chatterbox,True,0.14437540106951877,0.32887789188499134,0.24932975871313673,-0.24932975871313676,-0.24932975871313673,-0.30563002680965146,0.26273458445040215,0.1978468709351062,0.33687073575511706,0.24932975871313673,0.14629255249771747,0.3262791239515377,,,,,,,,,,,,
4,resynth_s3vccb,0.032171581769437,0.013404825737265416,0.06702412868632708,0.257372654155496,0.6058981233243967,0.024128686327077747,-0.27077747989276135,-0.029490616621983913,-0.06166219839142091,0.08042895442359249,0.35388739946380693,-0.07238605898123324,0.27345844504021444,chatterbox,True,0.14586159788957984,0.388754781054513,0.27345844504021444,-0.27345844504021444,-0.38337801608579086,-0.42627345844504017,0.35388739946380693,0.27956989247311825,0.4278074866310161,0.27345844504021444,0.1604252644733783,0.38565342508161654,,,,,,,,,,,,
8,clean_real,0.2037533512064343,0.03753351206434316,0.06702412868632708,0.19302949061662197,0.32439678284182305,0.1742627345844504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,resynth_vocos,0.10187667560321716,0.2734584450402145,0.23324396782841822,0.1876675603217158,0.16890080428954424,0.03485254691689008,-0.10187667560321716,0.23592493297587133,0.16621983914209115,-0.00536193029490617,-0.1554959785522788,-0.13941018766756033,0.06970509383378018,f5tts,True,0.0027775854108956785,0.15263616480880482,-0.3914209115281502,-0.2412868632707775,0.06970509383378018,-0.37533512064343166,0.23592493297587133,0.1716388648900113,0.30354951460565816,0.06970509383378018,-0.02157258064516127,0.15969100725038665,,,,,,,,,,,,
8,resynth_bigvgan,0.13672922252010725,0.045576407506702415,0.09919571045576407,0.2225201072386059,0.35924932975871315,0.13672922252010725,-0.06702412868632707,0.008042895442359255,0.03217158176943699,0.029490616621983934,0.034852546916890104,-0.03753351206434316,0.0026809651474531127,chatterbox,False,1.3704315460216786e-17,0.044444444444444425,0.0026809651474531127,-0.00536193029490617,-0.02680965147453085,-0.07238605898123326,-0.03753351206434316,-0.07027027027027025,-0.00808570993826624,-0.07238605898123326,-0.13223249814158905,-0.04244031830238729,-0.005434782608695652,0.024325972313777193,-0.06850495984884267,-0.008063975611865427,-0.0053908355795148355,0.06776923933622897,-0.06006010018982616,0.03514231533986302,0.0,0.06793478260869568,-0.04853074024838971,0.03744327214915453
8,resynth_griffinlim,0.09115281501340483,0.6943699731903485,0.064343163538874,0.05630026809651475,0.040214477211796246,0.05361930294906166,-0.11260053619302948,0.6568364611260054,-0.002680965147453085,-0.13672922252010722,-0.2841823056300268,-0.12064343163538874,0.6595174262734584,f5tts,True,0.5813333333333334,0.7342415065441381,-0.9410187667560321,-0.7935656836461126,0.6595174262734584,-0.7774798927613941,0.6568364611260054,0.5826164579213359,0.7280614555256064,0.6595174262734584,0.5782420281794587,0.73603163538874,,,,,,,,,,,,
8,resynth_glvocos,0.13404825737265416,0.5656836461126006,0.06166219839142091,0.07506702412868632,0.06166219839142091,0.10187667560321716,-0.06970509383378015,0.5281501340482574,-0.00536193029490617,-0.11796246648793565,-0.26273458445040215,-0.07238605898123325,0.5335120643431636,f5tts,True,0.463954054054054,0.6037986086782444,-0.7908847184986596,-0.646112600536193,0.5335120643431636,-0.6005361930294907,0.5281501340482574,0.459100739651369,0.5942899658054173,0.5335120643431636,0.45622168808357216,0.6087105013067237,,,,,,,,,,,,
8,resynth_encodec,0.10455764075067024,0.21447721179624665,0.517426273458445,0.0938337801608579,0.06702412868632708,0.002680965147453083,-0.09919571045576407,0.1769436997319035,0.450402144772118,-0.09919571045576407,-0.257372654155496,-0.17158176943699732,0.2734584450402145,xtts,False,0.14742367092578856,0.39024390243902435,-0.707774798927614,-0.5495978552278821,-0.2734584450402145,-0.6219839142091153,,,,,,,0.11890293519325779,0.2394841466874734,-0.39096611933395004,-0.15416877744005414,-0.14854659447135934,-0.04710044652410234,-0.6622158534933084,-0.4473946736200633,-0.33512716090425526,-0.1881680144150479,-0.807270707483611,-0.6149683236211251
8,resynth_dac,0.16353887399463807,0.029490616621983913,0.08042895442359249,0.21983914209115282,0.34584450402144773,0.16085790884718498,-0.040214477211796246,-0.008042895442359248,0.01340482573726541,0.02680965147453085,0.02144772117962468,-0.013404825737265424,0.00536193029490617,cosyvoice3,False,2.7755575615628914e-17,0.06434522870810525,-0.00536193029490617,0.00536193029490617,-0.0348525469168901,-0.04021447721179627,,,,,,,-0.02419517868011477,0.005263157894736841,-0.08968002162066102,-0.0190697032182046,-0.010667379679144376,0.06896551724137928,-0.07068108233117484,0.05747188859878153,-0.019024337728676673,0.06436060071056472,-0.08447335034528497,0.05041825448461752
8,resynth_hift3,0.13941018766756033,0.07506702412868632,0.2680965147453083,0.24932975871313673,0.23056300268096513,0.03753351206434316,-0.06434316353887398,0.03753351206434316,0.20107238605898126,0.056300268096514755,-0.09383378016085792,-0.13672922252010725,0.1447721179624665,xtts,False,0.05977855838340994,0.2183584248241404,-0.29490616621983917,-0.1447721179624665,-0.1635388739946381,-0.3378016085790885,0.056300268096514755,0.005291005291005291,0.10849460996519819,-0.1447721179624665,-0.23327540232543012,-0.06063945367065033,,,,,,,,,,,,
8,resynth_s3vc3,0.01876675603217158,0.02680965147453083,0.10187667560321716,0.48257372654155495,0.3190348525469169,0.05093833780160858,-0.18498659517426275,-0.01072386058981233,0.034852546916890076,0.28954423592493295,-0.00536193029490617,-0.12332439678284182,0.25469168900804284,cosyvoice3,True,0.1578912186884323,0.3416389323207505,-0.2949061662198391,0.25469168900804284,-0.3002680965147453,-0.41286863270777474,0.28954423592493295,0.21949105691056908,0.35912762285929734,0.25469168900804284,0.15945945945945944,0.34597216068527537,,,,,,,,,,,,
