probe,target,shift_f5tts,shift_xtts,shift_cosyvoice3,shift_chatterbox,shift_indextts,contrast,contrast_lo,contrast_hi,T,T_lo,T_hi,G,G_lo,G_hi,max_abs_shift_class,min_shift,mean_shift,matched_minus_unmatched_target_shift,mmu_lo,mmu_hi,contrast_of_contrasts,coc_lo,coc_hi,G_adj,G_adj_lo,G_adj_hi,controls,n_boot,G_min,G_min_lo,G_min_hi
resynth_vocos,f5tts,-0.012732701391061573,0.0016073351251535697,-0.00208083857799663,-0.0036164566914453585,-0.0028979038425169428,-0.010985735394360234,-0.012360610968687317,-0.009591547547953758,0.012732701391061573,0.010945722549542767,0.014283379186119771,0.010985735394360234,0.009591547547953758,0.012360610968687317,,,,,,,,,,,,,,,,,
resynth_bigvgan,indextts,-0.007856229514922278,-0.0026731722795931326,-0.00883550666292615,-0.008981082778194314,-0.00685334557182987,0.0002331522370790988,4.370850990762205e-05,0.0004340346599162207,0.00685334557182987,0.005264384336955678,0.008538909012941217,-0.0002331522370790988,-0.0004340346599162207,-4.370850990762205e-05,,,,,,,,,,,,,,,,,
resynth_glvocos,f5tts,-0.0018909059005512308,0.016774284136519036,0.015011952485859235,0.01668473095420858,0.012118127326863062,-0.01703817962641371,-0.018105402136512044,-0.015791380336298566,0.0018909059005512308,-0.0002158381916741104,0.003954741069490793,0.01703817962641371,0.015791380336298566,0.018105402136512044,,,,,,,,,,,,,,,,,
resynth_griffinlim,f5tts,-0.00247319725818992,0.0159998945192741,0.014706419715932484,0.016506075539473874,0.01102405626716307,-0.017032308768650802,-0.018242159165502238,-0.015804975789744196,0.00247319725818992,0.00017250830999702144,0.004877416400612943,0.017032308768650802,0.015804975789744196,0.018242159165502238,,,,,,,,,,,,,,,,,
resynth_encodec,,-0.00859347009786652,0.0029845183400622004,-0.0038899074610692246,-0.004324516566125701,-0.0005467399834947356,,,,,,,,,,f5tts,-0.00859347009786652,-0.0028740231536987957,,,,,,,,,,,,,,
resynth_dac,,-0.00800403097679404,-0.002043204077447068,-0.008133966385838813,-0.008498334373290034,-0.005974108987455394,,,,,,,,,,chatterbox,-0.008498334373290034,-0.006530728960165069,,,,,,,,,,,,,,
resynth_hift3,cosyvoice3,-0.00604868446534185,-0.0014835896504788232,-0.008111377344054767,-0.007265169243390694,-0.006374748878121056,-0.002818329284721661,-0.00334088097643189,-0.002353704568548642,0.008111377344054767,0.006400235877470333,0.009823638027873487,0.002818329284721661,0.002353704568548642,0.00334088097643189,,,,,,,,,,,,,,,,,
resynth_s3vc3,cosyvoice3,-0.004089412037233245,-0.0004481379212387126,-0.009772288575568723,-0.008170958338729817,-0.00253065533676352,-0.005962497667077399,-0.0066473954306243204,-0.0053581318790076465,0.009772288575568723,0.0069729878129666314,0.01290360363223174,0.005962497667077399,0.0053581318790076465,0.0066473954306243204,,,,,,,,,,,,,,,,,
resynth_hiftcb,chatterbox,-0.008680300482476365,-0.0014334229937187789,-0.00766801945965028,-0.009897914552816437,-0.006707377152532419,-0.0037756345307219763,-0.004100028349165904,-0.0034191129057458618,0.009897914552816437,0.0082890335495029,0.0115480579680516,0.0037756345307219763,0.0034191129057458618,0.004100028349165904,,,,,,,,,,,,,,,,,
resynth_s3vccb,chatterbox,-0.00379875853617773,0.0028531356407554154,-0.0059235233404041935,-0.008292866296486944,-0.0007606692032903513,-0.006385412436707729,-0.007244057141227284,-0.005645066182950748,0.008292866296486944,0.00541775836247079,0.011073758209140987,0.006385412436707729,0.005645066182950748,0.007244057141227284,,,,,,,,,,,,,,,,,
resynth_vocos_vs_unmatched,f5tts,,,,,,,,,,,,,,,,,,-0.004433950853731293,-0.005718857521189906,-0.0029924643571585256,-0.0064902672938623,-0.007853154210543887,-0.005099390070621898,0.0064902672938623,0.005099390070621898,0.007853154210543887,,,,,
resynth_vocos_vs_strongest,f5tts,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,0.0038364267141505802,0.002249444776022337,0.005432676140754536
resynth_hift3_vs_unmatched,cosyvoice3,,,,,,,,,,,,,,,,,,-0.002099440420600748,-0.0026748885367264695,-0.001460989794752556,-0.0011813782015690534,-0.0015451129550603407,-0.0008675970701889153,0.0011813782015690534,0.0008675970701889153,0.0015451129550603407,,,,,
resynth_hift3_vs_strongest,cosyvoice3,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,0.0005737801579304099,0.00025827849734770623,0.0008802604740330959
resynth_s3vc3_vs_unmatched,cosyvoice3,,,,,,,,,,,,,,,,,,-0.0037603516521147046,-0.00583653229030327,-0.0017266059702160748,-0.004325546583924792,-0.00491297476974444,-0.0037499515616127204,0.004325546583924792,0.0037499515616127204,0.00491297476974444,,,,,
resynth_s3vc3_vs_strongest,cosyvoice3,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,0.0037179485402861483,0.0031499319839881365,0.004307957296085661
resynth_hiftcb_vs_unmatched,chatterbox,,,,,,,,,,,,,,,,,,-0.00348648908310857,-0.0043227079476689705,-0.0027449547113385727,-0.001639322764752058,-0.0019161290908369132,-0.0013767375238782126,0.001639322764752058,0.0013767375238782126,0.0019161290908369132,,,,,
resynth_hiftcb_vs_strongest,chatterbox,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,0.001316127764315771,0.0010080944231521058,0.0015634818103530785
resynth_s3vccb_vs_unmatched,chatterbox,,,,,,,,,,,,,,,,,,-0.0018814408267790765,-0.004204456047602895,0.00025637505897749274,-0.004249100670737811,-0.005023887582547798,-0.0035497383906570763,0.004249100670737811,0.0035497383906570763,0.005023887582547798,,,,,
resynth_s3vccb_vs_strongest,chatterbox,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,0.003925905670301524,0.003157754334434534,0.004669051921164731
resynth_encodec_under_chatterbox,chatterbox,,,,,,,,,0.004324516566125701,0.002385577961903305,0.006474189028888159,0.0018131167655336313,0.0013086952699799253,0.0022804300247053666,,,,,,,,,,,,,,,,,
resynth_encodec_under_cosyvoice3,cosyvoice3,,,,,,,,,0.0038899074610692246,0.0017291878841772254,0.006196838105468984,0.001269855384213036,0.0007408564685164272,0.001808701191121788,,,,,,,,,,,,,,,,,
resynth_encodec_under_f5tts,f5tts,,,,,,,,,0.00859347009786652,0.006633507751972888,0.010542027428410422,0.007149308680209653,0.006228966022490052,0.007942937453885591,,,,,,,,,,,,,,,,,
resynth_encodec_under_indextts,indextts,,,,,,,,,0.0005467399834947356,-0.0016675289812768598,0.0025989080042175365,-0.0029091039627550754,-0.0032964892829152066,-0.0024913144624295514,,,,,,,,,,,,,,,,,
resynth_dac_under_chatterbox,chatterbox,,,,,,,,,0.008498334373290034,0.006911402073311881,0.010178252474693677,0.002459506766406205,0.002314703721769903,0.0025987469977350507,,,,,,,,,,,,,,,,,
resynth_dac_under_cosyvoice3,cosyvoice3,,,,,,,,,0.008133966385838813,0.006521394102541818,0.009855409279624198,0.002004046782092179,0.0018809734638729997,0.0021294545849760626,,,,,,,,,,,,,,,,,
resynth_dac_under_f5tts,f5tts,,,,,,,,,0.00800403097679404,0.006561725425941558,0.009638320222391304,0.0018416275207862138,0.0017303520444643357,0.001946998810510256,,,,,,,,,,,,,,,,,
resynth_dac_under_indextts,indextts,,,,,,,,,0.005974108987455394,0.004551608880611898,0.007449547936532304,-0.0006957749658870953,-0.0008091530241798247,-0.0005936438836542468,,,,,,,,,,,,,,,,,
resynth_bigvgan_under_chatterbox,chatterbox,,,,,,,,,0.008981082778194314,0.007425941186801781,0.010727302746290104,0.0024265192708764574,0.0022055648829508176,0.0026651896824466,,,,,,,,,,,,,,,,,
resynth_bigvgan_under_cosyvoice3,cosyvoice3,,,,,,,,,0.00883550666292615,0.007231868556053914,0.010587251560539773,0.002244549126791251,0.0019850767537872628,0.0025574731076395954,,,,,,,,,,,,,,,,,
resynth_bigvgan_under_f5tts,f5tts,,,,,,,,,0.007856229514922278,0.006392265220574188,0.009424226272754677,0.0010204526917864107,0.0003457189208936254,0.0015337234476473904,,,,,,,,,,,,,,,,,
