ssl,early_f1,early_lo,early_hi,deep_f1,deep_lo,deep_hi,earlyminusdeep_lo,earlyminusdeep_hi
wavlm,0.8027137813466473,0.7744211114400255,0.8320315680203523,0.7396756572579555,0.7151395937176492,0.765297289482293,0.038939536972705885,0.08695418403109505
hubert,0.748236720025411,0.7156160776288732,0.7772237769144016,0.6851306966589543,0.6550487101523123,0.7164353476358599,0.034072072981966114,0.09042619585150374
xlsr,0.8017528328577377,0.7709866152825786,0.8295108721474981,0.7775700083247795,0.7464053481576903,0.8069189165728237,0.004927049565926417,0.04297167648775309
w2v2lv60,0.7321714133379256,0.696954588740643,0.7668226674769018,0.7494803765348156,0.7157067085631114,0.7822291823409755,-0.05195827867284368,0.015435142956338495
w2vbert,0.8328693946390068,0.7984385882236155,0.861989872107717,0.812819654304937,0.7749365634555121,0.8458484694957545,-0.009678052176228507,0.053585137253432606
