gl,scored_toward,P_f5,P_f5_lo,P_f5_hi,T_f5,T_f5_lo,T_f5_hi,G_f5,G_f5_lo,G_f5_hi
resynth_glvocos,f5tts,0.7613941018766756,0.6684133271202237,0.8522079601773759,0.0018909059005512308,-0.00011799880673014928,0.0037218402588126177,0.01703817962641371,0.015907904798072626,0.018176092860834298
resynth_griffinlim,f5tts,0.7560321715817694,0.6522406580943544,0.847599395489421,0.00247319725818992,0.000352001336693502,0.004825669568077607,0.017032308768650802,0.015873516272084325,0.01822386455249131
resynth_glc3,f5tts,0.7882037533512064,0.694579456505686,0.8663415956063015,0.0017386286571901542,-0.000703494611813345,0.004321999269607409,0.01789074964401869,0.016603839304257892,0.019025579846047996
resynth_glcb,f5tts,0.8096514745308311,0.7055702917771883,0.8944906734581575,0.0007560182832201429,-0.0016800724328354753,0.0034076031163147,0.017962532013095417,0.016675953492141047,0.01921275854337713
