gl,scored_toward,P_f5,P_f5_lo,P_f5_hi,T_f5,T_f5_lo,T_f5_hi,G_f5,G_f5_lo,G_f5_hi
resynth_glvocos,f5tts,0.6568364611260054,0.5593299541730316,0.7567189925823702,0.00018135903667828353,-0.001838754190907294,0.002168331704225018,0.013289959317238018,0.012397461927574693,0.01413669974215147
resynth_griffinlim,f5tts,0.6380697050938338,0.5411052286356822,0.7340467525195968,0.00023798952153796486,-0.0020426328502093014,0.0027229356249960225,0.012969088019059107,0.012034841352125878,0.013838899887509155
resynth_glc3,f5tts,0.6621983914209115,0.5599841688654354,0.7628469102525706,-0.00022724007153958483,-0.0026311236880818475,0.0025353675868209683,0.013386540574298786,0.012372808228213985,0.014240741169087405
resynth_glcb,f5tts,0.6836461126005362,0.5770994680851064,0.778386132033673,-0.0009276961193647206,-0.003488578236478943,0.0016873883149885977,0.013531461477918855,0.01249582481193463,0.014518750775253999
